khán giả    看者
thính giả    聴者
khán thính giả    看聴者
diễn đàn    演壇
ngôn tình    言情
bình luận    評論
việt nam    越南
xác suất    確率
cách mạng    革命
thứ nhất    次一    thứ nhất
thông tin    通信    thông tin
đơn giản    単簡    đơn giản
thập kỷ    十紀    thập kỷ
thế kỷ    世紀    thế kỷ
thiên niên kỷ    千年紀    thiên niên kỷ
quan trọng    観重    quan trọng
thông cảm    通感    thông cảm
huống hồ    況弧    huống hồ
mưu tính    謀併    mưu tính
tính toán    併数    tính toán
tính kế    併計    tính kế
thành phố    城舗    thành phố
phố xá    舗舎    phố xá
văn án    文案    văn án
tiền nhân hậu quả    前因後果    tiền nhân hậu quả
quan tham    官貪    quan tham
