an    安    an bình, an ổn
bang    邦    liên bang
bao    包    bao bọc
binh    兵    binh lính, binh lực
biên    辺    biên, biên giới
biến    変    biến đổi, biến thiên
biểu    表    biểu hiện, bảng biểu, biểu diễn
biện    弁    hùng biện, biện luận
biệt    別    biệt li, đặc biệt, tạm biệt
bà    婆    bà già
bá    覇    xưng bá
bái    拝    sùng bái
báo    報    báo cáo, báo thù, báo đáp
bạn    伴    bầu bạn, đồng bạn
bí    泌    rỉ ra, tiết ra
bích    壁    tường, bích họa
bị    被    bị thương, bị cáo
bút    筆    bút
bưu    郵    bưu điện
bạch    白    thanh bạch, bạch sắc
bại    敗    thất bại
bạo    暴    bạo lực, bộc lộ
bất    不    bất công, bất bình đẳng, bất tài
bần    貧    bần cùng
bắc    北    phương bắc
bệ    陛    bệ hạ
bệnh    病    bệnh nhân, bệnh viện, bệnh tật
bồn    盆    cái bồn
bổ    補    bổ sung, bổ túc
bộ    部    bộ môn, bộ phận
bộc    暴    bạo lực, bộc lộ
bội    倍    bội thu, bội số
cam    甘    ngọt, cam chịu
cao    高    cao đẳng, cao thượng
chinh    征    chinh phục, chinh phạt
chiêm    占    chiếm cứ
chiếm    占    chiếm cứ
chiến    戦    chiến tranh, chiến đấu
chiết    折    bẻ gãy, chiết suất
chiểu    沼    đầm lầy
chuyên    専    chuyên môn, chuyên quyền
chuyết    拙    vụng về, dở
chuyển    転    chuyển động
châm    針    cái kim, phương châm, châm cứu
chúng    衆    quần chúng, chúng sinh
chư    諸    chư hầu
chương    章    chương sách
chưng    蒸    chưng cất
chướng    障    chướng ngại
chưởng    掌    lòng bàn tay
chấp    執    cố chấp
chất    質    vật chất, phẩm chất, khí chất
chẩn    診    chẩn đoán
chỉnh    整    điều chỉnh, chỉnh hình
chủ    主    chủ yếu, chủ nhân
chủng    種    chủng loại, chủng tộc
cuồng    狂    cuồng sát
cán    幹    cán sự, cán bộ
cáo    告    báo cáo, thông cáo
các    各    các
cân    斤    cân (kilo), cái rìu
câu    拘    câu thúc
cúc    菊    hoa cúc
căn    根    gốc, căn bản, căn cứ
cương    剛    cứng
cước    脚    cẳng chân
cường    強    cường quốc; miễn cưỡng
cưỡng    強    cường quốc; miễn cưỡng
cạnh    競    cạnh tranh
cảng    港    hải cảng, không cảng
cấm    禁    cấm đoán, nghiêm cấm
cận    近    thân cận, cận thị, cận cảnh
cập    及    phổ cập
cốt    骨    xương, cốt nhục
cộng    共    tổng cộng, cộng sản, công cộng
cứ    据    cứ làm, cứ đi; căn cứ; cứ điểm
cử    挙    tuyển cử, cử động, cử hành
cực    極    cực lực, cùng cực, địa cực
cựu    旧    cũ, cựu thủ tướng, cựu binh
danh    名    danh tính, địa danh
diêm    塩    muối
diễn    演    diễn viên, biểu diễn, diễn giả
diện    面    phản diện, chính diện
diệp    葉    lá, lạc diệp, hồng diệp
diệt    滅    diệt vong
do    由    tự do, lí do
doanh    営    doanh nghiệp, kinh doanh, doanh trại
dâm    淫    dâm dục
dân    民    quốc dân, dân tộc
dã    野    cánh đồng, hoang dã, thôn dã
dĩ    以    dĩ tiền, dĩ vãng
dư    余    thặng dư, dư dật
dưỡng    養    dưỡng dục
dược    薬    thuốc
dạng    様    đa dạng, hình dạng
dẫn    引    dẫn hỏa
dật    逸    ẩn dật
dị    異    dị bản, dị tộc, dị giáo
dụng    用    sử dụng, dụng cụ, công dụng
giang    江    trường giang, giang hồ
giá    価    giá cả, vô giá, giá trị
giáng    降    giáng trần; đầu hàng
giáo    教    giáo dục, giáo viên
giải    解    giải quyết, giải thể, giải thích
giảm    減    gia giảm, giảm
giản    簡    đơn giản
giảng    講    giảng đường, giảng bài
giới    界    giới hạn
hao    耗    tiêu hao, hao mòn
hiếu    孝    hiếu thảo
hiềm    嫌    hiềm khích
hiền    賢    hiền thần, hiền nhân
hiểm    険    nguy hiểm, mạo hiểm, hiểm ác
hiển    顕    hiển hách, hiển thị
hiện    現    xuất hiện, hiện tại, hiện tượng, hiện hình
hiệp    協    hiệp lực
hoa    花    hoa, bông hoa
hoan    歓    hoan nghênh
hoang    荒    hoang dã, hoang dại
hoài    懐    hoài cổ
hoành    横    tung hoành, hoành độ, hoành hành
hoãn    緩    hòa hoãn
hoại    壊    phá hoại
hoạn    患    bệnh hoạn
hoảng    慌    hốt hoảng, hoảng loạn
hoặc    惑    nghi hoặc
huynh    兄    phụ huynh
huyết    血    tâm huyết
huyễn    幻    huyễn hoặc
huyện    県    huyện, tỉnh
huyệt    穴    sào huyệt
huấn    訓    huấn luyện
huệ    恵    ân huệ
hung    凶    hung khí, hung thủ
huống    況    tình huống, trạng huống
huỳnh    蛍    đom đóm, huỳnh quang
hàm    含    hàm ý, hàm nghĩa, hàm súc
hào    豪    hào kiệt, phú hào
hách    嚇    nạt nộ, hách dịch
hán    漢    hảo hán
hãm    陥    vây hãm
hòa    和    hòa bình, tổng hòa, điều hòa
hóa    化    biến hóa
hô    呼    gọi tên, hô hoán, hô hấp, hô hào
hùng    雄    thư hùng, anh hùng, hùng tráng
hưng    興    hưng thịnh, phục hưng; hứng thú
hưu    休    hưu trí, hưu nhàn
hướng    向    hướng thượng, phương hướng
hạch    核    hạt nhân, hạch tâm
hại    害    có hại, độc hại, lợi hại
hạm    艦    chiến hạm, hạm đội
hạn    限    giới hạn, hữu hạn, hạn độ
hạng    項    hạng mục
hạnh    幸    hạnh phúc, hạnh vận
hạp    峡    đường núi hẹp
hải    海    hải cảng, hải phận
hảo    好    hữu hảo; hiếu sắc
hận    恨    căm hận
hắc    黒    đen, hắc ám
hằng    恒    luôn luôn, hằng đẳng thức
hỉ    喜    vui
học    学    học sinh, học thuyết
hỏa    火    lửa
hồi    回    vu hồi, chương hồi
hồn    魂    linh hồn
hỗ    互    tương hỗ
hỗn    混    hỗn hợp, hỗn độn, hỗn loạn
hợp    合    thích hợp, hội họp, hợp lí
kham    堪    chịu đựng được
khang    康    kiện khang, khang trang
khinh    軽    khinh suất, khinh khi
khiêm    謙    khiêm tốn
khiếm    欠    khiếm khuyết
khoa    科    khoa học, chuyên khoa
khoan    寛    khoan dung
khoái    快    khoái lạc
khoán    券    vé, chứng khoán
khoáng    鉱    khai khoáng
khoản    款    điều khoản
khuynh    傾    khuynh đảo, khuynh hướng
khuyến    勧    khuyến cáo
khuyển    犬    con chó
khuất    屈    khuất phục
khuẩn    菌    vi khuẩn
khuếch    拡    khuếch đại
khách    客    hành khách, thực khách
khám    勘    khám
khán    看    khán giả
kháng    抗    chống lại, đề kháng, kháng chiến
khánh    慶    quốc khánh
khát    渇    khát, khát vọng
khâm    襟    vạt áo, cổ áo
khê    渓    thung lũng, khê cốc
khô    枯    khô khát
không    空    không khí, hư không, hàng không
khúc    曲    ca khúc
khước    却    khước từ
khả    可    có thể, khả năng, khả dĩ
khải    啓    nói
khẩu    口    miệng, nhân khẩu, khẩu ngữ
khẳng    肯    khẳng định
